Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
Chapter1,亡者,亡者,Dead
Chapter2,見習,见习,Appraisal
Chapter3,一樓鎖匠,一楼锁匠,Locksmith
Chapter4,光芒,光芒,Light
Chapter5,妖豔女子,妖艳女子,Captivating
Chapter6,女生房間,女生房间,Haven
Chapter7,見鬼,见鬼,Encounter
Chapter8,事出有因,事出有因,Always a Reason
Chapter9,困擾,困扰,Disturbing
Chapter10,第一份同意書,第一份同意书,Tricked
Chapter11,感情關係,感情关系,Relationships
Chapter12,啞巴,哑巴,Speechless
Chapter13,使命,使命,Mission
Chapter14,錯念,错念,Misunderstanding
Chapter15,不散,不散,Don't Disappear
Chapter16,責任,责任,Responsibility
Chapter17,解脫,解脱,Liberation
Chapter18,準備工作,准备工作,Preparations
Chapter19,改造,改造,Transformation
Chapter20,機會,机会,Opportunity
Chapter21,法事,法事,Rituals
S1,此情不再,此情不再,Feelings No Longer
S2,大陷害,大陷害,A Big Trap
S3,宅男生活,宅男生活,Otaku Life
S4,萬事通陳師奶,万事通陈师奶,A Noisy Bitch
S5,有一種保安叫陳伯,有一种保安叫陈伯,When Asshole Become a Security
S6,我的寶貝,我的宝贝,My Love My Precious
S7,火鍋肉,火锅肉,We Love Hotpot
S8,一場意外,一场意外,Goodbye Mother
S9,歸西,归西,Mahjong is Not Good
S10,笑容,笑容,The Girl Who Laughs
End1,自我解脫,自我解脱,Self-Liberation
End2,粉碎,粉碎,Shattered
End3,重遇,重遇,Reunited
End4,結連,结连,Tied Up
End5,遺憾,遗憾,Regret
End6,玩物,玩物,Plaything
End7,新開始,新开始,New Beginning
End8,永遠的愛,永远的爱,Eternal Love
Truth,本性,本性,The Truth
